Date,Subways_Ridership,Subways_Percentage_Prepandemic,Buses_Ridership,Buses_Percentage_Prepandemic,LIRR_Ridership, LIRR_Percentage_Prepandemic,Metronorth_Ridership,Metronorth_Percentage_Prepandemic,Access-A-Ride_Total Scheduled,Acces-A-Ride_Percentage_Prepandemic,Bridges_and_Tunnel_Total_Traffic,Bridges_and_Tunnels_Percentage_Prepandemic,Staten_Island_Railway_Ridership,Staten_Island_Rallway_Percentage_Prepandemic,Day_of_Week,Total_Ridership,Subway_Ridership_Ratio
2021-04-11,899646,37,504407,51,32034,35,22933,22,9742,52,666435,77,1020,31,Sunday,1963427,0.4582019092128202
2021-04-12,1845836,33,1087799,50,83124,27,43563,15,21192,73,793402,84,3418,21,Monday,4148121,0.44498123367182396
2021-04-13,2012153,36,1196355,55,87182,28,46150,16,22728,79,832482,88,3877,24,Tuesday,4538195,0.4433817850489016
2021-04-14,2018126,36,1199954,55,86698,28,47970,17,23462,81,852606,91,3810,23,Wednesday,4552702,0.44328093514576616
2021-04-15,1906733,34,1083083,50,81762,26,44175,15,21198,73,822207,87,3593,22,Thursday,4198836,0.4541099009344495
2021-04-16,2078856,37,1157507,53,87190,28,54355,19,21632,75,889711,95,3591,22,Friday,4535415,0.45836070128091916
2021-04-17,1425036,45,803352,60,49901,44,39789,27,13313,80,813162,89,0,0,Saturday,3121430,0.4565330633715957
2021-04-18,1082503,45,607333,61,38263,42,30983,30,10865,57,753446,87,0,0,Sunday,2366415,0.45744427752528616
2021-04-19,1911326,34,1147977,53,87167,28,45925,16,21274,74,816540,87,3634,22,Monday,4340372,0.44035995071390194
2021-04-20,2082495,37,1223642,56,90034,28,49100,17,23528,81,860511,91,4135,25,Tuesday,4668913,0.4460342268103946
