Date,Subways_Ridership,Subways_Percentage_Prepandemic,Buses_Ridership,Buses_Percentage_Prepandemic,LIRR_Ridership, LIRR_Percentage_Prepandemic,Metronorth_Ridership,Metronorth_Percentage_Prepandemic,Access-A-Ride_Total Scheduled,Acces-A-Ride_Percentage_Prepandemic,Bridges_and_Tunnel_Total_Traffic,Bridges_and_Tunnels_Percentage_Prepandemic,Staten_Island_Railway_Ridership,Staten_Island_Rallway_Percentage_Prepandemic,Day_of_Week,Total_Ridership,Subway_Ridership_Ratio
2021-05-22,1645268,51,839877,60,66293,56,51249,34,13397,77,911148,95,1787,37,Saturday,3442564,0.4779193647525507
2021-05-23,1268928,53,645466,67,58005,59,40613,39,11765,69,885740,104,1358,39,Sunday,2658478,0.4773137110782937
2021-05-24,2118877,37,1192453,52,105528,33,55179,19,21563,73,869940,90,4252,24,Monday,4664490,0.45425694984875087
2021-05-25,2270945,40,1253998,55,110871,35,58737,21,22854,78,902577,94,4683,27,Tuesday,4948549,0.45891128894550703
2021-05-26,2275882,40,1241052,55,114548,36,59613,21,23594,80,921084,96,4429,25,Wednesday,4932147,0.46143839589533725
2021-05-27,2352019,41,1246269,55,117293,37,62852,22,23450,80,970920,101,4619,27,Thursday,5024702,0.46809124202788543
2021-05-28,2232599,39,1135369,50,112780,35,66048,23,21520,73,931760,97,4047,23,Friday,4682165,0.47683048333409866
2021-05-29,1370135,43,648192,46,54774,46,38894,26,11734,68,744860,78,1332,27,Saturday,2760187,0.49639209227490744
2021-05-30,1065176,45,484864,50,43418,45,30072,28,10028,59,664029,78,956,27,Sunday,2108394,0.5052072809920727
2021-05-31,1389651,57,702801,73,102292,105,43039,41,10380,61,756187,89,1651,47,Monday,2940584,0.4725765358173751
2021-06-01,2258831,40,1230127,56,114759,34,94923,32,22308,76,907698,92,4705,28,Tuesday,4928767,0.45829535054101767
2021-06-02,2343745,42,1249102,57,112503,34,90821,31,24325,83,910385,93,4772,28,Wednesday,5045273,0.46454275120493976
2021-06-03,2233917,40,1143159,53,102751,31,84815,28,23026,79,895524,91,4419,27,Thursday,4707801,0.47451389725266635
2021-06-04,2310032,41,1160335,54,104564,31,88908,30,22743,78,930743,95,4308,27,Friday,4824174,0.47884508311681956
2021-06-05,1792204,56,874545,62,72827,59,62687,40,14636,84,946758,96,0,0,Saturday,3676808,0.48743475318809143
2021-06-06,1363344,52,654780,60,61866,63,51469,47,12514,69,921829,100,0,0,Sunday,2786239,0.48931337189666785
2021-06-07,2223265,40,1200737,56,112097,34,89412,30,21511,73,897208,91,4348,27,Monday,4826248,0.4606611595591441
2021-06-08,2265591,40,1175335,55,108346,33,87986,30,22948,78,878376,89,4561,28,Tuesday,4812593,0.47076305850089545
2021-06-09,2386026,43,1259005,59,107918,32,90641,31,23868,81,908563,92,4586,28,Wednesday,5102595,0.4676103041687612
2021-06-10,2473818,44,1276901,59,113236,34,91323,31,23498,80,951274,97,4801,30,Thursday,5232179,0.47280836531013176
2021-06-11,2468258,44,1221484,56,118259,36,94566,32,23324,80,968763,99,4371,27,Friday,5124051,0.4817005139097952
2021-06-12,1775538,55,849178,61,68188,55,61468,39,14450,83,919318,93,0,0,Saturday,3603550,0.49271912419697245
2021-06-13,1379959,53,647385,59,59186,60,51712,47,12047,67,887098,96,0,0,Sunday,2785627,0.49538541951237547
2021-06-14,2223186,40,1176722,55,115254,35,91064,31,21568,74,869235,88,4205,26,Monday,4782948,0.46481500530635084
2021-06-15,2469785,44,1277203,59,117580,35,96688,33,23460,80,917933,93,4925,30,Tuesday,5238459,0.47147166752665237
2021-06-16,2519444,45,1288040,60,119205,36,94690,32,24788,85,945955,96,4745,28,Wednesday,5309419,0.4745234836429372
2021-06-17,2552497,46,1281552,60,121580,37,98435,33,23292,80,973485,99,4989,31,Thursday,5335616,0.4783884372488575
2021-06-18,2572013,98,1235675,113,122848,125,104304,96,22491,124,989296,107,4549,117,Friday,5270515,0.4880003187544291
2021-06-19,1784312,55,841519,60,76508,62,66134,42,13949,80,952944,97,0,0,Saturday,3609992,0.4942703474135123
2021-06-20,1389352,53,652557,60,76969,78,60876,56,13189,73,951631,103,0,0,Sunday,2832311,0.49053652653257357
2021-06-21,2264368,40,1191844,55,123918,37,95740,32,20512,70,926300,94,4601,28,Monday,4867714,0.4651809863932022
2021-06-22,2354873,42,1172110,55,116165,35,97637,33,22293,76,896868,91,4648,28,Tuesday,4912895,0.4793249194212374
2021-06-23,2547416,45,1264095,59,121867,37,101864,34,24223,83,946870,96,5027,31,Wednesday,5299337,0.4807046617340999
2021-06-24,2552639,46,1248843,57,121542,37,100509,34,22842,78,978351,99,5045,31,Thursday,5272376,0.48415344429153007
2021-06-25,2582713,46,1214123,56,126722,38,100537,34,22400,76,988675,101,4712,28,Friday,5238218,0.493051835566981
2021-06-26,1854179,57,841585,60,76560,62,66738,42,13520,78,950086,97,1682,33,Saturday,3680647,0.5037644196794748
2021-06-27,1559967,60,656004,60,75058,76,62411,56,11883,66,900039,97,1436,37,Sunday,3009444,0.5183572114982037
2021-06-28,2252362,40,1152019,54,122263,37,101482,34,20503,70,924740,94,4564,28,Monday,4780145,0.47119114587528205
2021-06-29,2343739,42,1169268,54,119355,36,97829,33,21612,74,930011,95,4717,28,Tuesday,4899459,0.4783668972431446
2021-06-30,2346388,42,1139886,53,119358,36,99455,34,23001,79,945822,96,4476,28,Wednesday,4844973,0.4842933077232835
2021-07-01,2292461,43,1104516,53,114363,36,90018,32,22011,78,933638,97,4598,33,Thursday,4705874,0.48714882718916824
2021-07-02,2296044,43,1121116,54,116542,37,94252,33,21489,76,920188,96,4258,31,Friday,4749070,0.48347234300610437
2021-07-03,1541988,55,738089,55,63827,50,57381,37,12676,80,777262,84,1768,35,Saturday,3139374,0.49117690342087306
2021-07-04,1468510,63,615001,56,70165,67,63948,60,12816,78,773629,87,1815,51,Sunday,2832625,0.5184272538722916
2021-07-05,1495709,64,770321,70,78370,75,59711,56,10303,62,838087,95,2005,56,Monday,3174432,0.4711737406880979
2021-07-06,2302002,44,1181416,56,127893,40,100494,35,22648,80,903777,94,4690,34,Tuesday,4893221,0.47044717579688305
2021-07-07,2437064,46,1234617,60,122603,39,99137,35,23637,83,926634,96,5028,36,Wednesday,5128038,0.4752429681683326
2021-07-08,2364250,45,1164513,56,116274,37,93197,33,22941,81,897858,93,4785,35,Thursday,4902747,0.4822296561499094
2021-07-09,2318387,44,1115969,54,109420,35,88347,31,20632,73,888932,92,4325,31,Friday,4748092,0.4882776070893319
2021-07-10,1781717,63,855908,63,72964,56,64429,42,14518,91,925950,100,2204,43,Saturday,3630926,0.49070595214554086
2021-07-11,1365854,57,635511,57,62559,60,53178,50,11725,71,830775,94,1549,43,Sunday,2752613,0.49620269903542563
2021-07-12,2245412,43,1171521,56,120503,38,99023,35,20623,73,866231,90,4563,33,Monday,4807980,0.46701774965786047
2021-07-13,2457526,47,1239045,60,123373,39,105314,37,22286,79,895705,93,5117,37,Tuesday,5164303,0.4758678954352601
2021-07-14,2517615,48,1260044,61,120455,38,101843,36,23662,83,919213,96,5018,36,Wednesday,5260001,0.4786339394232054
2021-07-15,2581582,49,1275846,62,125587,40,105171,37,23772,84,971048,101,5209,38,Thursday,5364032,0.48127639805280803
2021-07-16,2536569,48,1219118,59,123465,39,104331,37,21730,77,983846,102,4626,34,Friday,5202601,0.4875578580790647
2021-07-17,1717480,61,795347,59,73001,56,64513,42,13228,83,897001,97,0,0,Saturday,3445688,0.49844327170655034
2021-07-18,1405344,60,640618,57,67362,64,56174,53,11313,68,838604,95,0,0,Sunday,2810116,0.5001017751580362
2021-07-19,2327756,44,1208792,57,126653,40,103403,37,20276,72,897298,93,4717,34,Monday,4975396,0.46785341307505973
2021-07-20,2462002,47,1217802,59,125809,40,107009,38,22213,78,924495,96,5015,36,Tuesday,5130424,0.47988275432985655
2021-07-21,2504568,47,1225595,59,121530,38,104862,37,22865,81,914902,95,4934,36,Wednesday,5182150,0.4833067356213155
2021-07-22,2582151,49,1279778,62,127275,40,102275,36,23122,82,963493,100,5187,38,Thursday,5371257,0.4807349564543272
2021-07-23,2552330,48,1219255,59,130474,41,101070,36,22314,79,985198,102,4713,34,Friday,5222384,0.48872890235570576
2021-07-24,1852402,66,856250,63,84852,66,68579,44,14042,88,950568,103,0,0,Saturday,3718333,0.49818077079164236
2021-07-25,1364830,57,625645,56,66417,63,53090,50,11419,69,864361,98,0,0,Sunday,2735627,0.49890939079048424
2021-07-26,2318455,44,1219135,59,129875,41,101260,36,19910,70,907205,94,4714,34,Monday,4987860,0.46481958194496237
2021-07-27,2487947,47,1267804,61,128262,41,102950,36,22609,80,918908,96,5132,37,Tuesday,5254767,0.4734647606639838
2021-07-28,2534756,48,1276296,62,126767,40,99976,35,23145,82,932094,97,5004,36,Wednesday,5314091,0.4769876917802123
2021-07-29,2428764,46,1186642,56,120318,38,94716,33,22164,78,918380,96,4743,34,Thursday,5017082,0.48409892443456176
2021-07-30,2557677,48,1235623,60,131905,42,103531,37,22127,78,988596,103,4812,35,Friday,5264359,0.48584775468390357
2021-07-31,1841007,65,857333,64,85371,67,67121,43,13932,88,953445,103,0,0,Saturday,3708165,0.4964738624090352
2021-08-01,1351294,56,629963,56,66030,63,51978,50,11627,65,869092,94,0,0,Sunday,2729228,0.49511949899385466
2021-08-02,2333923,45,1208484,60,126151,40,102349,38,19824,71,903514,93,4799,36,Monday,4979391,0.4687165559001091
2021-08-03,2483802,48,1262043,63,123949,40,103249,38,22828,82,904753,93,5262,39,Tuesday,5235086,0.4744529507251648
2021-08-04,2529002,49,1257876,62,123700,40,99332,36,23611,85,921068,95,5016,37,Wednesday,5267786,0.4800882192253064
2021-08-05,2529190,49,1259332,62,119999,38,98290,36,22610,81,956306,98,5097,38,Thursday,5266143,0.4802737031637766
2021-08-06,2519444,49,1222343,61,123238,39,101218,37,22179,79,979833,101,4500,34,Friday,5188586,0.4855742971206414
2021-08-07,1780458,61,836715,61,76835,57,67267,44,14108,85,923751,96,0,0,Saturday,3597990,0.4948479567758665
2021-08-08,1333885,56,598574,54,61066,59,54265,52,11934,66,843489,92,0,0,Sunday,2646364,0.5040444171701247
2021-08-09,2289434,45,1183050,59,109865,35,95599,35,20540,74,891525,92,4845,36,Monday,4860998,0.4709802390373335
2021-08-10,2442194,48,1245670,62,122544,39,95330,35,23079,83,905508,93,5037,38,Tuesday,5151408,0.4740828138637048
2021-08-11,2475949,48,1246306,62,119708,38,94737,35,23338,84,931264,96,4928,37,Wednesday,5183006,0.4777052158535028
2021-08-12,2448589,48,1223666,61,119717,38,90818,33,22427,80,965578,99,4764,36,Thursday,5106456,0.4795084888619426
2021-08-13,2430102,47,1189426,59,123849,40,91861,34,21336,76,973883,100,4522,34,Friday,5024664,0.48363472662052626
2021-08-14,1718222,57,811826,59,75664,56,57650,38,13157,79,904780,94,0,0,Saturday,3475188,0.4944256253186878
2021-08-15,1430620,60,661705,60,72983,70,54362,52,12395,69,918288,100,0,0,Sunday,2881375,0.4965060084161208
2021-08-16,2287627,45,1170216,57,123942,40,100258,37,20087,72,910779,94,4769,36,Monday,4852259,0.47145607849869514
2021-08-17,2427611,47,1209633,60,120737,39,103616,38,22245,80,909180,94,5081,38,Tuesday,5071230,0.4787026027216277
2021-08-18,2445638,48,1210760,60,117216,37,97853,36,22715,81,917872,94,4878,36,Wednesday,5082227,0.4812138458199526
2021-08-19,2439624,47,1194375,59,117409,38,93036,34,21838,78,939085,97,4871,36,Thursday,5038819,0.4841658333033991
2021-08-20,2456334,48,1183308,59,124627,40,99533,36,21451,77,969814,100,4590,34,Friday,5047110,0.4866812888960217
2021-08-21,1715030,57,822340,60,72843,55,61997,41,13046,78,941331,98,1409,30,Saturday,3494550,0.4907727747492524
2021-08-22,745240,31,369246,33,27528,26,16121,16,7979,44,489334,53,560,16,Sunday,1527381,0.48792017184972186
2021-08-23,2052669,40,1032792,51,110003,35,84223,31,18809,67,821654,85,4062,30,Monday,4312479,0.47598353522417153
2021-08-24,2462365,48,1234884,61,130591,42,98325,36,22679,81,942935,97,5041,38,Tuesday,5161049,0.47710552641526943
2021-08-25,2498255,49,1236342,61,127392,41,93307,34,23351,84,957036,98,5165,39,Wednesday,5191638,0.48120747247785767
2021-08-26,2480137,48,1222996,61,122067,39,91039,33,22068,79,950534,98,4995,37,Thursday,5139235,0.4825887510495239
2021-08-27,2388210,46,1147249,56,119665,38,90532,33,21211,76,973335,100,4392,33,Friday,4892905,0.48809653978566925
2021-08-28,1659434,56,776489,56,68988,52,56208,37,12760,77,890293,93,1661,35,Saturday,3337608,0.49719260020949135
2021-08-29,1398566,59,630281,56,68832,66,54068,52,11558,64,890505,97,2076,57,Sunday,2782028,0.5027145664960957
2021-08-30,2321000,45,1182908,59,131574,42,97092,36,19224,69,911105,94,4695,35,Monday,4915482,0.4721815683589117
2021-08-31,2532584,49,1246463,62,133641,43,99949,37,22724,81,936181,96,5390,40,Tuesday,5259100,0.48156224449050217
2021-09-01,2294448,40,1086148,47,118437,36,90598,31,20878,70,811053,85,4551,27,Wednesday,4675779,0.4907092486620946
2021-09-02,1661558,28,1188941,51,105647,32,37898,13,21179,71,851145,89,2620,15,Thursday,4182985,0.3972182544283568
2021-09-03,2390392,41,1221668,53,139807,43,97937,34,22585,76,1014806,107,4450,26,Friday,5071472,0.4713408651373802
2021-09-04,1777639,55,834456,59,84764,72,57137,37,13382,78,927358,97,2104,51,Saturday,3588452,0.4953776726008875
2021-09-05,1415352,56,618622,56,71004,72,45169,43,11931,69,832200,94,1541,53,Sunday,2768769,0.5111845733609413
2021-09-06,1521388,60,733947,67,77906,79,51338,49,10077,59,812884,92,1966,67,Monday,3118526,0.4878548391130938
2021-09-07,2233674,39,1102372,47,137623,42,113742,39,21143,71,902400,95,4795,28,Tuesday,4689783,0.4762851500805048
2021-09-08,2529619,44,1192895,51,135722,41,110925,38,22354,75,896020,94,5228,31,Wednesday,5162056,0.49004098367007254
2021-09-09,2702713,47,1249341,54,139547,43,111708,39,23653,80,911040,96,5378,31,Thursday,5452650,0.49566962852924723
2021-09-10,2840443,49,1322430,56,150895,46,113495,39,23037,78,995486,105,5377,31,Friday,5749693,0.4940164631398581
2021-09-11,1983091,62,870791,62,82235,69,65329,43,13070,76,917704,96,2182,53,Saturday,3872237,0.5121305849822725
2021-09-12,1589976,62,694561,63,77028,78,58979,56,12239,71,899864,102,1679,56,Sunday,3115105,0.5104084774028483
2021-09-13,2852796,49,1441516,62,147829,45,122504,42,21898,74,914827,96,6133,36,Monday,6006161,0.4749782764731082
2021-09-14,3011275,52,1511145,65,144904,44,120532,42,23132,78,908024,95,6672,39,Tuesday,6299001,0.47805596474742584
2021-09-15,2987334,52,1503627,65,139927,43,116413,40,23966,81,904733,95,6410,38,Wednesday,6250928,0.47790248103961525
2021-09-16,2534545,44,1210069,52,127995,39,107680,37,20826,70,864413,91,5308,31,Thursday,5190358,0.4883179541758006
2021-09-17,3028545,52,1456201,63,142120,43,119349,41,23282,78,982085,103,6131,36,Friday,6202416,0.4882847264678796
2021-09-18,2014848,63,871175,62,77267,65,76288,50,14054,82,949178,99,2582,62,Saturday,3910753,0.515207173656838
2021-09-19,1596823,63,674024,61,69397,70,64139,61,12612,73,914623,103,1897,65,Sunday,3078407,0.518717310609026
2021-09-20,2883211,50,1481676,64,148068,45,122101,42,21889,74,895109,94,6548,38,Monday,6116732,0.4713646110373971
2021-09-21,3018312,52,1505803,65,142672,44,123923,43,22399,75,860050,90,6998,41,Tuesday,6296513,0.4793624661777082
2021-09-22,3021113,52,1506211,65,139853,43,120056,42,23157,78,872883,92,6812,40,Wednesday,6293444,0.48004129376538507
2021-09-23,3016106,52,1483075,64,140127,43,115473,40,23031,78,915198,96,6724,39,Thursday,6237856,0.48351645180651814
2021-09-24,3121747,54,1469705,63,142827,44,116730,40,21941,74,986694,104,6294,37,Friday,6320714,0.4938915128892084
2021-09-25,2129492,66,872490,62,88460,75,81282,53,13909,81,953628,100,2719,66,Saturday,4044214,0.526552749186863
2021-09-26,1614677,63,657257,60,80069,81,64937,62,12034,70,895286,101,2238,77,Sunday,3074197,0.5252353704072966
2021-09-27,2873368,50,1489441,64,146154,45,121534,42,21209,71,881116,93,6715,39,Monday,6119938,0.46950933163048386
2021-09-28,2927715,51,1457421,63,141188,43,118253,41,21727,73,831192,87,6827,40,Tuesday,6101998,0.4797961257935516
2021-09-29,3063720,53,1513184,65,137483,42,120032,42,23323,79,886785,93,6789,40,Wednesday,6347603,0.4826577843636409
2021-09-30,3146861,55,1516081,65,144838,44,121842,42,23555,79,953501,100,7104,42,Thursday,6445703,0.4882106730639001
2021-10-01,3162881,55,1492942,66,140003,45,116182,40,23098,78,985786,106,6325,35,Friday,6404950,0.49381821872145765
2021-10-02,2063660,62,883902,63,86563,76,80946,53,14145,80,923455,98,2562,56,Saturday,3998973,0.5160474951943912
2021-10-03,1575738,64,673253,67,74851,82,66758,63,12936,70,887540,105,1904,50,Sunday,3063853,0.5142994784671457
2021-10-04,2864349,50,1419155,63,152598,49,121256,42,21794,73,871945,94,6591,37,Monday,5976513,0.4792675929927702
2021-10-05,3091160,54,1499767,67,150226,48,124670,43,23644,79,887129,96,7027,39,Tuesday,6365590,0.4856046336631797
2021-10-06,3140986,55,1532668,68,149640,48,123097,42,24677,83,913993,98,6972,39,Wednesday,6479059,0.4847904610839321
2021-10-07,3190747,56,1523168,68,150072,48,121407,42,24571,83,951212,102,7298,41,Thursday,6508562,0.490238396745702
2021-10-08,3168473,55,1473912,65,153755,49,123609,43,23356,78,1001210,108,6660,37,Friday,6393661,0.49556474764614517
2021-10-09,2052699,62,856308,62,84631,75,81969,54,13634,77,919384,97,47,1,Saturday,3931915,0.522060878732119
2021-10-10,1499385,61,601821,60,65636,72,59049,56,11794,64,806025,95,166,4,Sunday,2827712,0.5302467153656384
2021-10-11,2263615,39,1045865,46,131714,42,114458,39,16917,56,878443,95,3883,22,Monday,4601517,0.4919279880960996
2021-10-12,3102879,54,1514608,67,154602,49,128194,44,23848,80,910639,98,7292,41,Tuesday,6414891,0.48369941126045635
2021-10-13,3157457,55,1511356,67,151319,48,124790,43,24396,82,907632,98,7198,40,Wednesday,6456278,0.4890522062401898
2021-10-14,3240686,56,1527543,68,154572,49,126815,44,24144,81,952876,103,7386,41,Thursday,6577159,0.4927182085760736
2021-10-15,3227068,56,1491099,66,150932,48,124654,43,23251,78,990940,107,6786,38,Friday,6484852,0.49763171156411895
2021-10-16,2042027,61,856990,62,83415,74,74913,49,13307,75,896392,95,2369,52,Saturday,3914335,0.5216791613390269
2021-10-17,1629991,66,663944,66,74826,82,69729,66,12564,68,891527,106,1853,49,Sunday,3102434,0.5253910316867337
2021-10-18,2982883,52,1461843,65,153681,49,127381,44,21454,72,889996,96,6810,38,Monday,6187631,0.48207189472028955
2021-10-19,3178208,55,1510722,67,153382,49,129993,45,23403,79,899389,97,7250,41,Tuesday,6483027,0.49023519414619127
2021-10-20,3234327,56,1525608,68,155242,49,131127,45,24474,82,916246,99,7148,40,Wednesday,6571912,0.4921439909724902
2021-10-21,3267697,56,1476434,65,149850,48,127259,44,24007,81,948652,102,7498,42,Thursday,6497674,0.5029025771376034
2021-10-22,3225816,56,1471199,65,145810,46,126554,44,22843,77,986548,106,6297,35,Friday,6440578,0.5008581527931188
2021-10-23,2077488,62,847596,61,74720,66,82865,54,13556,77,914737,97,2243,49,Saturday,3930265,0.5285872581110943
2021-10-24,1599927,65,659283,66,69611,76,68154,65,12314,67,883371,105,1908,51,Sunday,3056258,0.523492126646376
2021-10-25,2994936,52,1461023,65,158330,50,125755,43,21724,73,883887,95,7026,39,Monday,6201067,0.48297107578421583
2021-10-26,2702635,47,1233660,55,130109,41,104517,36,21220,71,738636,80,5278,30,Tuesday,5404581,0.500063742221645
2021-10-27,3300580,56,1503535,67,155865,50,129881,45,24144,81,914494,99,7054,40,Wednesday,6593396,0.5005887709459587
2021-10-28,3365971,59,1515489,67,159574,51,132170,45,24814,83,959835,103,7605,43,Thursday,6688693,0.503232993351616
2021-10-29,3251779,56,1426938,63,153317,49,122632,42,22477,75,963442,104,6597,37,Friday,6381604,0.5095551212516477
2021-10-30,2044310,61,819620,59,76471,67,69281,45,12642,72,854656,90,2177,48,Saturday,3829302,0.5338596955789854
2021-10-31,1746769,71,656203,66,68674,75,66300,63,12233,67,824978,98,1910,51,Sunday,3194149,0.5468652213782137
2021-11-01,3034306,54,1448304,66,158356,48,131251,46,21387,69,898451,95,6783,40,Monday,6220521,0.487789688355686
2021-11-02,2848222,51,1258180,56,147832,45,129297,45,22016,71,853432,90,5679,33,Tuesday,5641711,0.5048507447474712
2021-11-03,3293732,57,1507287,69,154203,47,130954,46,23349,75,901230,96,7371,43,Wednesday,6593463,0.4995450797251763
2021-11-04,3284315,57,1486942,68,151353,46,126533,44,24009,77,931012,99,7210,42,Thursday,6536085,0.5024896402051074
2021-11-05,3293438,57,1457014,67,150227,46,121824,43,23009,74,966007,102,6769,40,Friday,6479517,0.5082844909581995
2021-11-06,2195864,69,864499,66,84943,74,80784,53,13672,81,910587,100,2410,70,Saturday,4090589,0.5368087578585871
2021-11-07,1888985,75,614513,62,81181,86,72175,69,10647,56,780686,95,2978,97,Sunday,3271367,0.5774298634179534
2021-11-08,3065533,54,1461178,67,159723,49,131127,46,22136,71,889544,94,6921,41,Monday,6278739,0.4882402342253755
2021-11-09,3279457,57,1518264,69,157181,48,134070,47,24504,78,898518,95,7677,45,Tuesday,6607236,0.49634325155027004
2021-11-10,3351992,59,1514453,69,159254,48,134400,47,24608,79,926005,98,7445,44,Wednesday,6674552,0.5022047921718191
2021-11-11,2922235,115,1198235,120,143386,152,122940,118,19846,105,895643,109,5493,179,Thursday,5585031,0.5232262811074818
2021-11-12,3158682,56,1350608,62,141671,43,117650,41,21598,69,919941,98,6082,36,Friday,6119219,0.516190383119153
2021-11-13,2169863,69,815114,62,80829,70,74296,49,13124,77,869112,96,2286,66,Saturday,3955216,0.5486079647736053
2021-11-14,1703136,68,657129,66,72488,77,62856,60,12460,66,858311,104,1772,57,Sunday,3152738,0.5402085425430213
2021-11-15,3110969,55,1437414,66,160952,49,132234,46,22208,71,890524,94,6792,40,Monday,6278983,0.49545746500667387
2021-11-16,3340844,59,1492110,68,161362,49,137235,48,23694,76,902386,96,7472,44,Tuesday,6623661,0.5043802815391669
2021-11-17,3369069,60,1501740,69,158372,48,131113,46,24396,78,915266,97,7453,44,Wednesday,6662034,0.5057117691083534
2021-11-18,3412249,61,1505488,69,157433,48,132632,46,24071,77,959226,102,7511,44,Thursday,6713290,0.508282675111607
2021-11-19,3316999,59,1429787,65,151795,46,127093,44,22662,73,987149,105,6842,40,Friday,6455461,0.51382836949987
2021-11-20,2135731,68,861772,65,94412,82,82894,55,13195,78,915131,101,2367,68,Saturday,4036581,0.5290940526153197
2021-11-21,1674206,66,674551,68,80467,85,66859,64,12774,68,841901,102,1827,60,Sunday,3170634,0.5280350869889113
2021-11-22,3130363,56,1418226,65,156874,48,127776,45,21441,69,901942,96,6896,41,Monday,6251465,0.5007407063784249
2021-11-23,3286591,57,1424890,65,162241,49,136562,48,22574,72,989345,105,7194,42,Tuesday,6435174,0.5107229423788696
2021-11-24,3085289,55,1343391,61,165349,50,139391,49,21002,67,992568,105,6589,39,Wednesday,6076811,0.5077151486198929
2021-11-25,1357198,54,509782,51,125417,133,69945,67,15459,82,861084,105,1990,65,Thursday,2572124,0.5276565204476923
2021-11-26,2089772,83,843588,85,128452,136,108747,104,11077,59,789915,96,3205,104,Friday,4014147,0.5206017617192394
2021-11-27,1880422,60,750986,56,83676,73,76112,50,10620,63,850980,94,2216,64,Saturday,3542182,0.5308654383089294
2021-11-28,1465745,57,592081,59,75197,80,65128,63,10481,56,825585,100,1669,54,Sunday,2790232,0.5253129488874043
2021-11-29,2996015,53,1381661,63,166154,51,132498,46,21124,68,900399,95,6692,39,Monday,6057989,0.4945560317128341
2021-11-30,3207209,56,1432539,65,166738,51,136630,48,22469,72,897216,95,7124,42,Tuesday,6375655,0.5030399229569354
2021-12-01,3326469,62,1463384,73,163163,52,136126,49,23347,80,899319,102,7266,47,Wednesday,6552526,0.5076620832942899
2021-12-02,3358843,63,1449142,72,154723,49,127508,46,22540,77,923179,104,7290,47,Thursday,6539358,0.5136349776231857
2021-12-03,3374097,63,1419078,71,144500,46,119424,43,22518,77,940827,106,6442,41,Friday,6476177,0.5210013562013515
2021-12-04,2318147,70,864764,68,91477,71,81392,52,13317,77,864918,98,56,1,Saturday,4220544,0.5492531294544021
2021-12-05,1737352,68,665129,68,72716,68,60526,56,12541,70,818544,103,193,6,Sunday,3200852,0.5427779853613975
2021-12-06,3135869,59,1394230,70,154970,49,127260,46,21761,75,865595,98,6687,43,Monday,6206559,0.5052508161124385
2021-12-07,3367790,63,1453136,73,153749,49,131033,47,23262,80,883027,100,7367,47,Tuesday,6558844,0.5134731059314721
2021-12-08,3378727,63,1430106,71,156218,49,130222,47,22691,78,889409,100,6948,45,Wednesday,6525379,0.51778249202077
2021-12-09,3433600,64,1436883,72,154367,49,126159,45,22743,78,927903,105,7222,46,Thursday,6587892,0.5211985867406448
2021-12-10,3417451,64,1404176,70,152524,48,127711,46,22237,76,962125,109,6331,41,Friday,6506038,0.5252737533964603
2021-12-11,2266265,68,786137,62,91894,72,81068,52,13396,78,863814,98,2291,46,Saturday,4011501,0.5649419007997256
2021-12-12,1829872,72,627007,64,80874,76,66471,62,12189,68,828121,104,1833,54,Sunday,3231231,0.5663080107859821
2021-12-13,3120850,57,1333718,67,153387,49,129698,46,21617,74,874293,99,6769,43,Monday,6071371,0.5140272271287655
2021-12-14,3274170,61,1378221,69,154939,49,131812,47,23042,79,894669,101,7124,46,Tuesday,6317363,0.5182811245768211
2021-12-15,3242168,61,1436154,72,153128,48,129761,47,23732,81,921048,104,6908,44,Wednesday,6397365,0.506797407995323
2021-12-16,3219799,60,1438193,72,152710,48,126131,45,23623,81,948535,107,7043,45,Thursday,6375026,0.5050644499332237
2021-12-17,3112088,57,1375383,69,146111,46,121037,43,22539,77,968689,109,6404,41,Friday,6130002,0.5076814004302119
2021-12-18,1880969,56,786073,62,74306,57,66097,42,12312,71,832994,94,1987,40,Saturday,3593518,0.5234338606346205
2021-12-19,1579809,62,636393,65,65698,62,56292,52,12238,69,784051,98,1694,50,Sunday,2974585,0.5311023218364915
2021-12-20,2716451,51,1277654,64,132078,42,102695,37,20318,70,856849,97,5979,38,Monday,5506532,0.4933143038122724
2021-12-21,2697325,51,1299476,65,124376,39,97141,35,21656,74,866595,98,5772,37,Tuesday,5517794,0.4888411926940368
2021-12-22,2634565,49,1252621,63,117678,37,92941,33,21673,74,878197,99,5594,36,Wednesday,5350426,0.4924028479227635
2021-12-23,2486489,47,1166953,57,118388,37,97238,35,19335,66,899513,102,5000,32,Thursday,5036021,0.4937407925820802
2021-12-24,1575449,62,746809,76,97408,91,81055,75,12009,67,738612,93,2289,67,Friday,3247530,0.48512223135737004
2021-12-25,810937,24,329549,26,39466,31,31575,20,9021,52,582582,66,1008,20,Saturday,1541076,0.5262148005679149
2021-12-26,1284738,51,518897,53,56467,53,51478,48,8744,49,673477,85,1746,51,Sunday,2430477,0.5285950041905354
2021-12-27,2007649,38,890096,44,108463,34,89427,32,14952,51,744547,84,4026,26,Monday,3985731,0.5037091063094825
2021-12-28,2168419,41,953933,48,109904,35,89719,32,16736,56,764364,86,4372,28,Tuesday,4275908,0.5071248024980893
2021-12-29,2167077,41,921562,46,105898,34,92605,33,16859,57,768653,87,3996,26,Wednesday,4208704,0.5149036377944375
2021-12-30,2198415,41,928012,46,110101,35,90827,33,16177,55,804654,91,3944,25,Thursday,4255367,0.5166217155888082
